symbol,name,market,sector_l1,category_l2,data_asof,source
011170.KS,롯데케미칼,KOSPI,화학,chemical,2026-02-19,pykrx
011200.KS,HMM,KOSPI,운송·창고,other,2026-02-19,pykrx
011210.KS,현대위아,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
011780.KS,금호석유화학,KOSPI,화학,chemical,2026-02-19,pykrx
011790.KS,SKC,KOSPI,화학,chemical,2026-02-19,pykrx
012330.KS,현대모비스,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
012450.KS,한화에어로스페이스,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
012750.KS,에스원,KOSPI,일반서비스,services,2026-02-19,pykrx
014680.KS,한솔케미칼,KOSPI,화학,chemical,2026-02-19,pykrx
014820.KS,동원시스템즈,KOSPI,화학,chemical,2026-02-19,pykrx
015760.KS,한국전력,KOSPI,전기·가스,other,2026-02-19,pykrx
016360.KS,삼성증권,KOSPI,증권,brokerage,2026-02-19,pykrx
017670.KS,SK텔레콤,KOSPI,통신,telecom,2026-02-19,pykrx
017800.KS,현대엘리베이터,KOSPI,기계·장비,machinery,2026-02-19,pykrx
017960.KS,한국카본,KOSPI,금속,materials_metal,2026-02-19,pykrx
018260.KS,삼성에스디에스,KOSPI,IT 서비스,internet_platform,2026-02-19,pykrx
018880.KS,한온시스템,KOSPI,기계·장비,machinery,2026-02-19,pykrx
021240.KS,코웨이,KOSPI,일반서비스,services,2026-02-19,pykrx
022100.KS,포스코DX,KOSPI,일반서비스,services,2026-02-19,pykrx
023530.KS,롯데쇼핑,KOSPI,유통,consumer_retail,2026-02-19,pykrx
024110.KS,기업은행,KOSPI,은행,bank,2026-02-19,pykrx
026960.KS,동서,KOSPI,유통,consumer_retail,2026-02-19,pykrx
028050.KS,삼성E&A,KOSPI,일반서비스,services,2026-02-19,pykrx
028260.KS,삼성물산,KOSPI,유통,consumer_retail,2026-02-19,pykrx
028670.KS,팬오션,KOSPI,운송·창고,other,2026-02-19,pykrx
029780.KS,삼성카드,KOSPI,기타금융,financial,2026-02-19,pykrx
030000.KS,제일기획,KOSPI,일반서비스,services,2026-02-19,pykrx
030200.KS,KT,KOSPI,통신,telecom,2026-02-19,pykrx
032640.KS,LG유플러스,KOSPI,통신,telecom,2026-02-19,pykrx
032830.KS,삼성생명,KOSPI,보험,insurance,2026-02-19,pykrx
033780.KS,KT&G,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
034020.KS,두산에너빌리티,KOSPI,기계·장비,machinery,2026-02-19,pykrx
034220.KS,LG디스플레이,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
034230.KS,파라다이스,KOSPI,오락·문화,entertainment,2026-02-19,pykrx
034730.KS,SK,KOSPI,기타금융,financial,2026-02-19,pykrx
