import time: self [us] | cumulative | imported package
import time:       103 |        103 |                                 attr._config
import time:       351 |        351 |                                   attr.exceptions
import time:       124 |        475 |                                 attr.setters
import time:      2891 |       3469 |                               attr._make
import time:       174 |       3740 |                             attr.converters
import time:        97 |         97 |                             attr.filters
import time:      3061 |       3061 |                             attr.validators
import time:       119 |        119 |                             attr._cmp
import time:       124 |        124 |                             attr._funcs
import time:       155 |        155 |                             attr._next_gen
import time:       457 |        457 |                             attr._version_info
import time:       382 |       8130 |                           attr
import time:       237 |        237 |                                   yarl._quoting_c
import time:        91 |        328 |                                 yarl._quoting
import time:        81 |        408 |                               yarl._quoters
import time:       179 |        587 |                             yarl._query
import time:       110 |        110 |                                 propcache
import time:       203 |        203 |                                   propcache._helpers_c
import time:       105 |        307 |                                 propcache._helpers
import time:       155 |        571 |                               propcache.api
import time:       122 |        122 |                               yarl._parse
import time:        67 |         67 |                               yarl._path
import time:      1007 |       1765 |                             yarl._url
import time:       166 |       2517 |                           yarl
import time:       398 |        398 |                               aiohttp.typedefs
import time:       469 |        867 |                             aiohttp.http_exceptions
import time:       747 |        747 |                                 aiohttp.client_exceptions
import time:       260 |        260 |                                   netrc
import time:      1851 |       1851 |                                       email._header_value_parser
import time:       480 |       2331 |                                     email.headerregistry
import time:       206 |        206 |                                     email.contentmanager
import time:       463 |       2998 |                                   email.policy
import time:       122 |        122 |                                       urllib.response
import time:       938 |       1059 |                                     urllib.error
import time:      1451 |       2510 |                                   urllib.request
import time:       278 |        278 |                                   aiohttp.log
import time:      6031 |      12075 |                                 aiohttp.helpers
import time:       835 |        835 |                                 aiohttp.tcp_helpers
import time:       667 |      14323 |                               aiohttp.base_protocol
import time:       185 |        185 |                                 brotlicffi
import time:        58 |         58 |                                 brotli
import time:        42 |         42 |                                   backports
import time:        11 |         52 |                                 backports.zstd
import time:       583 |        877 |                               aiohttp.compression_utils
import time:      1203 |       1203 |                                   aiohttp._cookie_helpers
import time:       721 |       1923 |                                 aiohttp.abc
import time:       177 |        177 |                                 aiohttp._http_writer
import time:       481 |       2580 |                               aiohttp.http_writer
import time:       650 |        650 |                               aiohttp.streams
import time:       433 |        433 |                               aiohttp._http_parser
import time:      1546 |      20407 |                             aiohttp.http_parser
import time:        67 |         67 |                                 aiohttp._websocket
import time:       643 |        643 |                                 aiohttp._websocket.models
import time:       153 |        153 |                                 aiohttp._websocket.mask
import time:       500 |       1361 |                               aiohttp._websocket.helpers
import time:       284 |        284 |                                 aiohttp._websocket.reader_c
import time:       127 |        410 |                               aiohttp._websocket.reader
import time:       191 |        191 |                               aiohttp._websocket.writer
import time:       150 |       2110 |                             aiohttp.http_websocket
import time:       293 |      23676 |                           aiohttp.http
import time:      1171 |       1171 |                           aiohttp.payload
import time:       969 |        969 |                               aiohttp.multipart
import time:       157 |        157 |                               aiohttp.formdata
import time:      1950 |       3076 |                             aiohttp.client_reqrep
import time:       145 |       3220 |                           aiohttp.client_middlewares
import time:       624 |        624 |                           aiohttp.client_ws
import time:       350 |        350 |                                 aiohappyeyeballs._staggered
import time:       138 |        138 |                                 aiohappyeyeballs.types
import time:       261 |        748 |                               aiohappyeyeballs.impl
import time:       200 |        200 |                               aiohappyeyeballs.utils
import time:       161 |       1108 |                             aiohappyeyeballs
import time:       211 |        211 |                             aiohttp.client_proto
import time:        57 |         57 |                               aiodns
import time:       335 |        392 |                             aiohttp.resolver
import time:     32801 |      34511 |                           aiohttp.connector
import time:       194 |        194 |                               _compat_pickle
import time:       106 |        106 |                               _pickle
import time:       897 |       1196 |                             pickle
import time:       813 |       2009 |                           aiohttp.cookiejar
import time:       818 |        818 |                                 frozenlist._frozenlist
import time:       186 |       1003 |                               frozenlist
import time:       346 |       1348 |                             aiosignal
import time:      6257 |       7605 |                           aiohttp.tracing
import time:      1964 |      85422 |                         aiohttp.client
import time:       728 |        728 |                         aiohttp.client_middleware_digest_auth
import time:       299 |        299 |                         aiohttp.payload_streamer
import time:       288 |      88318 |                       aiohttp
import time:       173 |      88491 |                     openbb_core.provider.utils.client
import time:       122 |        122 |                     openbb_core.provider.utils.errors
import time:       427 |      89756 |                   openbb_core.provider.utils.helpers
import time:      1227 |      92414 |                 openbb_core.provider.abstract.fetcher
import time:       135 |        135 |                 openbb_core.provider.abstract.provider
import time:      1730 |       1730 |                         dotenv.parser
import time:       314 |        314 |                         dotenv.variables
import time:       453 |       2497 |                       dotenv.main
import time:       116 |       2612 |                     dotenv
import time:       137 |        137 |                     openbb_core.app.constants
import time:       162 |       2909 |                   openbb_core.env
import time:       187 |       3096 |                 openbb_core.provider.registry
import time:       179 |      95823 |               openbb_core.provider.query_executor
import time:       195 |        195 |               openbb_core.provider.registry_map
import time:        90 |         90 |               openbb_core.provider.standard_models
import time:        67 |         67 |               openbb_core.provider.utils.descriptions
import time:       129 |      96302 |             openbb_core.provider
import time:        11 |      96313 |           openbb_core.provider.abstract
import time:        31 |      96343 |         openbb_core.provider.abstract.data
import time:      3881 |     100224 |       openbb_core.app.model.metadata
import time:       186 |        186 |             uuid_extensions.uuid7
import time:       103 |        289 |           uuid_extensions
import time:       388 |        676 |         openbb_core.app.model.abstract.tagged
import time:        74 |         74 |           openbb_core.app.model.charts
import time:       726 |        799 |         openbb_core.app.model.charts.chart
import time:      1046 |       2520 |       openbb_core.app.model.obbject
import time:      2416 |       2416 |       openbb_core.app.provider_interface
import time:      1359 |       1359 |         openbb_core.app.model.example
import time:      1552 |       1552 |         openbb_core.app.model.field
import time:       165 |        165 |                     zipp._functools
import time:        65 |         65 |                       zipp.compat
import time:        85 |        150 |                     zipp.compat.py310
import time:        52 |         52 |                       zipp.compat.py313
import time:       115 |        167 |                     zipp.glob
import time:       420 |        900 |                   zipp
import time:        28 |        927 |                 zipp.compat
import time:       114 |       1040 |               zipp.compat.overlay
import time:        76 |         76 |                 importlib_metadata._text
import time:       205 |        280 |               importlib_metadata._adapters
import time:      5075 |       6394 |             openbb_core.app.version
import time:       174 |       6567 |           openbb_core.app.deprecation
import time:       730 |       7297 |         openbb_core.app.router
import time:        75 |         75 |           openbb_core.app.service
import time:      1750 |       1750 |             openbb_core.app.model.api_settings
import time:       744 |        744 |             openbb_core.app.model.python_settings
import time:      2861 |       5354 |           openbb_core.app.model.system_settings
import time:       203 |       5631 |         openbb_core.app.service.system_service
import time:        71 |         71 |           openbb_core.app.static.utils
import time:      1759 |       1829 |         openbb_core.app.static.utils.console
import time:       530 |        530 |         openbb_core.app.static.utils.linters
import time:        67 |         67 |             openbb_charting.charts
import time:       266 |        333 |           openbb_charting.charts.helpers
import time:        57 |         57 |             openbb_charting.core
import time:       320 |        377 |           openbb_charting.core.to_chart
import time:        90 |         90 |             openbb_charting.styles
import time:        92 |        182 |           openbb_charting.styles.colors
import time:     25148 |      26038 |         openbb_charting
import time:        88 |         88 |           openbb_alpha_vantage.models
import time:      2015 |       2015 |           openbb_core.provider.standard_models.equity_historical
import time:      2321 |       4423 |         openbb_alpha_vantage.models.equity_historical
import time:       964 |        964 |           openbb_core.provider.standard_models.historical_eps
import time:      1758 |       2721 |         openbb_alpha_vantage.models.historical_eps
import time:        99 |         99 |           openbb_benzinga.models
import time:      1231 |       1231 |           openbb_core.provider.standard_models.analyst_search
import time:      4715 |       6045 |         openbb_benzinga.models.analyst_search
import time:      1823 |       1823 |           openbb_core.provider.standard_models.company_news
import time:      2853 |       4675 |         openbb_benzinga.models.company_news
import time:      1811 |       1811 |           openbb_core.provider.standard_models.price_target
import time:      3764 |       5574 |         openbb_benzinga.models.price_target
import time:        87 |         87 |                 dateutil._version
import time:       128 |        214 |               dateutil
import time:       828 |        828 |               six
import time:       125 |        125 |               dateutil._common
import time:       628 |       1793 |             dateutil.relativedelta
import time:      2329 |       4121 |           openbb_core.provider.standard_models.world_news
import time:      2833 |       6953 |         openbb_benzinga.models.world_news
import time:        99 |         99 |           openbb_biztoc.models
import time:      1865 |       1963 |         openbb_biztoc.models.world_news
import time:        88 |         88 |           openbb_bls.models
import time:        57 |         57 |             openbb_bls.utils
import time:       255 |        312 |           openbb_bls.utils.constants
import time:       780 |        780 |           openbb_core.provider.standard_models.bls_search
import time:      1602 |       2780 |         openbb_bls.models.search
import time:      1004 |       1004 |           openbb_core.provider.standard_models.bls_series
import time:      2331 |       3335 |         openbb_bls.models.series
import time:        90 |         90 |           openbb_cboe.models
import time:       797 |        797 |           openbb_core.provider.standard_models.available_indices
import time:      1557 |       2443 |         openbb_cboe.models.available_indices
import time:      1720 |       1720 |         openbb_cboe.models.equity_historical
import time:      2968 |       2968 |           openbb_core.provider.standard_models.equity_quote
import time:      3381 |       6348 |         openbb_cboe.models.equity_quote
import time:       763 |        763 |           openbb_core.provider.standard_models.equity_search
import time:       965 |       1727 |         openbb_cboe.models.equity_search
import time:      1073 |       1073 |           openbb_core.provider.standard_models.futures_curve
import time:      1106 |       2179 |         openbb_cboe.models.futures_curve
import time:       758 |        758 |           openbb_core.provider.standard_models.index_constituents
import time:      2653 |       3410 |         openbb_cboe.models.index_constituents
import time:        34 |         34 |                 six.moves
import time:       274 |        274 |                 dateutil.tz._common
import time:       147 |        147 |                 dateutil.tz._factories
import time:        38 |         38 |                   six.moves.winreg
import time:       233 |        270 |                 dateutil.tz.win
import time:       632 |       1355 |               dateutil.tz.tz
import time:       707 |       2061 |             dateutil.parser._parser
import time:       244 |        244 |             dateutil.parser.isoparser
import time:      1774 |       4078 |           openbb_core.provider.standard_models.index_historical
import time:      1708 |       5786 |         openbb_cboe.models.index_historical
import time:       769 |        769 |           openbb_core.provider.standard_models.index_search
import time:      1436 |       2204 |         openbb_cboe.models.index_search
import time:      1295 |       1295 |           openbb_core.provider.standard_models.index_snapshots
import time:      1915 |       3209 |         openbb_cboe.models.index_snapshots
import time:       691 |        691 |             openbb_core.provider.utils.options_chains_properties
import time:      9284 |       9975 |           openbb_core.provider.standard_models.options_chains
import time:      7891 |      17865 |         openbb_cboe.models.options_chains
import time:        92 |         92 |           openbb_cftc.models
import time:      1721 |       1721 |           openbb_core.provider.standard_models.cot
import time:      2160 |       3972 |         openbb_cftc.models.cot
