COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
EngFlow,,,Seed,$3.7,October,2021,a16z,https://techcrunch.com/2021/10/12/engflow-raises-3-7-million-seed-to-speed-up-compiling-of-large-code-projects/
Foxglove,,,Seed,$3.7,January,2022,Amplify Partners,https://foxglove.dev/blog/foxglove-raises-seed-funding-3.7M
CloudQuery,,,Seed,$3.5,November,2021,BoldStartVC,https://www.cloudquery.io/blog/announcing-cloudquery-seed-funding
Cerbos,,,Seed,$3.5,December,2021,"Crane, OSS Capital",https://cerbos.dev/blog/announcement-cerbos-seed-funding-round
Orchest,,,Seed,$3.5,October,2021,"Gradient Ventures, Basis Set Ventures",https://techcrunch.com/2021/10/01/orchest-raises-3-5m-to-provide-a-simpler-way-to-build-data-pipelines/?tpcc=tcplustwitter
"Umbrel,",,,Seed,$3.0,October,2021,OSS Capital,https://blog.getumbrel.com/seed-6d09aa08f8ac?gi=9b2ec89ead5
Hoppscotch,,,Seed,$3.0,December,2021,OSS Capital,https://hoppscotch.notion.site/3e0757e531264cdaa0c81edf69f86d3e
Remix,,,Seed,$3.0,October,2021,"OSS Capital, A Capital",https://remix.run/blog/seed-funding-for-remix
ChistaDATA,,,Seed,$3.0,February,2022,Sequoia India,https://india.sequoiacap.com/build/chistadata-a-faster-cheaper-and-fully-open-source-cloud-data-warehouse-for-the-world/
ZenML,,,Seed,$2.7,December,2021,Crane Venture Partners,https://blog.zenml.io/why-zenml/
Quickwit,,,Seed,$2.6,March,2022,"FirstMark, firstminute",https://quickwit.io/blog/seed-funding
Appsmith,,,Seed,$2.5,October,2021,"Accel, Canaan Partners, Bessemer",https://www.appsmith.com/blog/10-5mn-funding-raised-how-we-got-here-and-where-we-want-to-go
ContainIQ,,,Seed,$2.5,October,2021,Lachy Groom,https://www.containiq.com/post/seed-round-announcement
BoxyHQ,,,Seed,$2.5,February,2022,OSS Capital,https://twitter.com/COSS_Community/status/1496529074033938447
